event,file_event,lam,prt_index,lam_pdg,lam_mom_x,lam_mom_y,lam_mom_z,lam_endpoint_x,lam_endpoint_y,lam_endpoint_z
2,1,0,4,3122,-0.9741038084030151,0.055561698973178864,37.915321350097656,-252.626464692908,14.40629615855205,9839.265851675556
4,3,0,4,3122,-1.193958044052124,-0.08245540410280228,40.582176208496094,-176.49174327252635,-12.19953885716007,5956.91020230413
5,4,0,4,3122,-1.1528160572052002,0.048011086881160736,40.09469223022461,-138.09237115950774,5.750742007844029,4747.903575238446
6,5,0,4,3122,-0.9505730271339417,-0.04486031457781792,40.12848663330078,-90.29529624063025,-4.246711719816876,3866.5065202667893
7,6,0,4,3122,-1.1195118427276611,0.11496328562498093,40.67764663696289,-116.1672678073373,11.957973349622616,4202.550320548772
12,11,0,4,3122,-1.0166923999786377,-0.07655533403158188,40.97480773925781,-104.45119113166899,-7.866419677272467,4181.659520402449
14,13,0,4,3122,-1.0402203798294067,-0.026586448773741722,39.339115142822266,-261.6572895851614,-6.676488284741112,9920.700638852248
16,15,0,4,3122,-0.9110342264175415,0.006961639970541,38.840816497802734,-152.00654960800918,1.162575692716624,6483.80264284746
19,18,0,4,3122,-1.023118019104004,0.11972539871931076,40.7377815246582,-101.22136669827145,11.8413780665201,4032.3579719137206
20,19,0,4,3122,-0.925872266292572,-0.10528124123811722,38.51663589477539,-79.2709089341669,-8.978579926545041,3340.3495763319374
25,24,0,4,3122,-0.9087051749229431,-0.07747545838356018,40.891605377197266,-290.98875361947836,-24.812064807754354,13037.94651180294
45,44,0,4,3122,-0.9828171730041504,-0.11836779862642288,39.12874221801758,-112.78721852808799,-13.57307121620888,4491.248619745239
49,48,0,4,3122,-0.9142558574676514,0.0205997247248888,38.990692138671875,-93.9788752290824,2.1005613614053606,3979.1233163093307
50,49,0,4,3122,-1.1370849609375,-0.11654066294431686,40.10423278808594,-189.63090981735297,-19.413898712793166,6695.56498905706
53,52,0,4,3122,-1.1427019834518433,0.040763482451438904,40.001094818115234,-198.3741051846593,7.072130740513283,6960.717390082754
55,54,0,4,3122,-0.9878019094467163,-0.07945224642753601,40.48600387573242,-163.76588899438795,-13.183100409273038,6777.742529786793
56,55,0,4,3122,-1.0636272430419922,-0.05242697149515152,39.17012405395508,-94.0162572530913,-4.59805200686089,3487.118258556745
60,59,0,4,3122,-1.0069626569747925,0.10382810980081558,38.937808990478516,-145.09739952770244,14.952392323779607,5603.404796246456
61,60,0,4,3122,-1.1806763410568237,0.05037346109747887,40.53447723388672,-702.408205005388,29.977742313095874,24128.500124711125
62,61,0,4,3122,-1.0593557357788086,0.006759146228432655,39.283843994140625,-97.57273560163969,0.6037126070543007,3632.309162624825
63,62,0,4,3122,-0.9491617679595947,-0.10993941128253937,38.731346130371094,-104.04190275579944,-12.0755445544112,4294.08130387989
69,68,0,4,3122,-0.9281539916992188,-0.008660797961056232,39.50905990600586,-145.46005580262633,-1.3381773682196227,6131.229705731264
73,72,0,4,3122,-1.098313808441162,-0.1236802265048027,40.554412841796875,-119.39580201704959,-13.47256248366883,4411.841891465689
75,74,0,4,3122,-1.0353232622146606,-0.07430266588926315,40.151023864746094,-93.45620202893943,-6.734743814603471,3591.4949983938436
77,76,0,4,3122,-1.0555527210235596,0.11311569809913635,39.0276985168457,-118.75712873192268,12.70240690495355,4435.290337277567
79,78,0,4,3122,-1.195364236831665,0.012402256019413471,40.57869338989258,-162.43605607830347,1.6940022209116075,5467.588317796312
81,80,0,4,3122,-1.009193778038025,0.09986679255962372,40.22966384887695,-137.6864098447782,13.61542320409949,5452.482580689778
84,83,0,4,3122,-1.0395891666412354,-0.13676755130290985,40.157508850097656,-354.05248820413266,-46.57858762480077,13715.692627041546
85,84,0,4,3122,-0.967334508895874,0.05010957270860672,38.13506317138672,-116.51412130649247,6.070274286343308,4593.343522786896
97,96,0,4,3122,-0.859886109828949,-0.049643952399492264,40.21717071533203,-145.1405848303905,-8.387152454585973,6766.495153008208
107,106,0,4,3122,-1.129553198814392,0.1247478798031807,40.75455093383789,-91.73377947253178,10.157180903955089,3352.5786346268956
108,107,0,4,3122,-0.9863627552986145,0.015421837568283081,39.24266815185547,-115.49998354043245,1.793245862740899,4620.339565875451
113,112,0,4,3122,-1.0135902166366577,-0.04834609106183052,39.015525817871094,-184.7675235664594,-8.811092936176568,7144.611199828885
116,115,0,4,3122,-1.0163309574127197,0.10104505717754364,38.392333984375,-278.4732210577704,27.702139820984723,10583.092810766673
119,118,0,4,3122,-0.9189879298210144,0.05935301259160042,40.37834930419922,-98.71373963959454,6.352175953486192,4357.02106843029
121,120,0,4,3122,-0.987884521484375,0.1349218189716339,40.74202346801758,-111.69384596574295,15.24382927237517,4594.136018161582
129,128,0,4,3122,-0.9862817525863647,-0.08949224650859833,40.17641067504883,-92.05998909773083,-8.35203908169067,3822.585650067439
140,139,0,4,3122,-0.9018975496292114,-0.0014314695727080107,38.213138580322266,-216.37753838583836,-0.3324196668359395,9103.641612224787
141,140,0,4,3122,-0.9094858765602112,-0.06245303153991699,39.60349655151367,-156.45340744288228,-10.750214961238495,6731.8739808700475
143,142,0,4,3122,-0.9211117625236511,-0.06620795279741287,38.122703552246094,-142.77388777913694,-10.216576677131366,5838.583567606899
144,143,0,4,3122,-0.8948580622673035,-0.017832648009061813,40.611328125,-146.7583423599507,-2.9236849957539945,6698.290059986789
145,144,0,4,3122,-1.0349798202514648,0.06264673173427582,38.61043167114258,-91.48386607235213,5.550239733625926,3377.7885126582673
149,148,0,4,3122,-0.9777207970619202,0.008291734382510185,38.961788177490234,-123.39187502469666,1.0643058788516937,4967.444432228311
150,149,0,4,3122,-0.8359051942825317,0.029086599126458168,40.43177795410156,-96.95288735243093,3.3756342322389483,4708.235850908642
151,150,0,4,3122,-1.1222530603408813,-0.04590065777301788,39.2098503112793,-107.7344406736448,-4.427257398506731,3760.7623119309887
158,157,0,4,3122,-0.9311804175376892,0.1427793800830841,38.40106964111328,-117.01059944475396,17.98160647512121,4868.414894077979
160,159,0,4,3122,-0.9119355082511902,0.00861833244562149,37.922035217285156,-134.8643239584858,1.3105352189793926,5610.849635939981
165,164,0,4,3122,-0.9203763604164124,0.13665957748889923,39.70869064331055,-92.16958886830133,13.674671411736274,3992.169858514635
173,172,0,4,3122,-0.9697793126106262,-0.03864708170294762,39.165409088134766,-103.92247014356867,-4.142785726150883,4255.8374805731155
176,175,0,4,3122,-0.8640208840370178,-0.010100873187184334,38.28468704223633,-104.76288954179672,-1.255651727494559,4692.810276444318
182,181,0,4,3122,-0.9905684590339661,0.01561003364622593,37.87466812133789,-230.11401711754976,3.6407742743412075,8761.224673781287
183,182,0,4,3122,-0.9063658714294434,0.048311248421669006,38.08695983886719,-148.3212529186229,7.917254615069298,6181.254314028813
